
         0:   ТРЕБУЕТСЯ ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ
        35:   ВТОРОЙ СПEЦИФИКАТОР ДЛЯ WRITE ТОЛЬКО ДЛЯ REAL
        36:   МАЛО ПАРАМЕТРОВ
        37:   ФАЙЛА INPUT НЕТ В СПИСКЕ ПАРАМЕТРОВ ПРОГРАММЫ
        38:   МНОГО ПАРАМЕТРОВ
        39:   НЕСООТВЕТСТВИЕ ВИДОВ ПАРАМЕТРОВ ПРИ ВЫЗОВЕ
        40:   НЕСООТВЕСТСТВИЕ ТИПОВ ПАРАМЕТРОВ ПРИ ВЫЗОВЕ
        41:   НЕТ ЗАПЯТ ИЛИ СКОБКИ ИЛИ МАЛО ПАРАМЕТРОВ
        42:   НЕТ СПИСКА ПАРАМЕТРОВ
        43:   СЛИШКОМ БОЛЬШОЕ ЧИСЛО
        44:   НЕПРАВИЛЬНОЕ УПОТР ИДЕНТ СТАНД ПРОЦ ИЛИ ФУНКЦИИ
        45:   НЕТ ОТКР СКОБ ДЛЯ СТАНД ПРОЦ
        46:   НЕТ ПЕРЕМЕННОЙ ДЛЯ СТАНД ПРОЦ
        47:   НЕТ ПЕРЕМЕННОЙ ТИПА ФАЙЛ
        48:   СЛИШКОМ СЛОЖНАЯ ПЕРЕМЕННАЯ
        49:   СЛИШКОМ МНОГО КОМАНД В БЛОКЕ
        50:   ПЕРЕПОЛНЕНА ТАБЛИЦА ОПИСАНИЙ
        51:   ПЕРЕПОЛ ТАБ ДЛИН ИДЕНТ
        52:   ВСТРЕТИЛСЯ КОНЕЦ ФАЙЛА
        53:   СЛИШКОМ МНОГО ОШИБОК
        54:   ОШИБКА В ПСЕВДОКОММЕНТАРИИ
        55:   В ЧИСЛЕ БОЛЬШЕ 16 ЦИФР
        56:   ПОСЛЕ ТОЧКИ НЕТ МАНТИС
        57:   НЕТ ПОРЯДКА ЧИСЛА ПОСЛЕ E
        58:   ПОРЯДОК БОЛЬШЕ 18
        59:   В СТРОКЕ EOLN TRUE
        60:   ЦИФРА ПОСЛЕ ТОЖДЕСТВА БОЛЬШЕ 3
        61:   ПУСТАЯ СТРОКА
        62:   НЕТ ЦЕЛОГО
        63:   НЕПРАВ ТИП ДЛЯ БАЗОВОГО ТИПА МНОЖЕСТВ
        64:   ОШИБКА ПРИ ОПРЕДЕЛЕНИИ ТИПА ОТРЕЗКА
        65:   НЕЛЬЗЯ ПСЕВДО K0 И NEW
        66:   ТРЕБУЕТСЯ ИНОЙ ТИП ИНДЕКСА
        67:   ПОСЛЕ ИНДЕКСОВ НЕТ КВ СКОБКИ
        68:   ИСПОЛЬЗОВАНИЕ ПРОЦЕДУРЫ В ВЫРАЖЕНИИ
        69:   МИНУС НЕ К REAL И НЕ К INTEGER
        70:   НЕТ НИ TO НИ DOWNTO
        71:   ОПЕРАТОР WITH НЕ ОТ ЗАПИСИ
        72:   ОПЕРАТОР WITH НЕ ОТ ПЕРЕМЕННОЙ
        73:   ДВЕ РАВНЫЕ МЕТКИ ВЫБОРА
        74:   РАЗНЫЕ ТИПЫ CASE МЕТОК И ВЫРАЖЕНИЯ
        75:   НЕЛЬЗЯ ПРИСВ ФАЙЛЫ
        76:   НЕПР НОМЕР ДЛЯ ВНЕШ ФАЙЛА
        77:   НЕТ OUTPUT
        78:   ПРЕДОПРЕДЕЛЕН КАК УКАЗАТЕЛЬ
        79:   НЕ ДООПРЕДЕЛЕН
        80:   НЕ ОПРЕДЕЛЕН ВНЕШНИЙ ФАЙЛ
        81:   СЛИШКОМ БОЛЬШАЯ ВЛОЖЕННОСТЬ ПРОЦЕДУР
        82:   ПРЕДЫДУЩЕЕ ОББЯВЛЕНИЕ НЕ БЫЛО FORWARD
        83:   ПОВТОР ПРЕДОПРЕДЕЛЕНИЯ
        84:   ОШИБКА В РАЗДЕЛЕ ОББЯВЛЕНИЙ
        85:   НЕ ДООПРЕДЕЛ ПРОЦЕДУРЫ
        86:   ТРЕБУЕТСЯ 
        87:   МНОГО ВХОД ПРОЦ
        88:   РАЗНЫЕ ТИПЫ CASE МЕТОК И ВЫРАЖ
        89:   ЦЕЛОЕ
        90:   ОПРЕД МЕТКИ В БЛОКЕ
        91:   ЛЕВАЯ СКОБКА
        92:   ЛЕВАЯ СКОБКА
        93:   ЛЕВАЯ СКОБКА
        94:   ЛЕВАЯ СКОБКА
        95:   ЛЕВАЯ СКОБКА
        96:   ПРАВАЯ СКОБКА
        97:   ПРАВАЯ СКОБКА
        98:   ПРАВАЯ СКОБКА
        99:   ПРАВАЯ СКОБКА
       100:   ПРАВАЯ СКОБКА
       101:   ПРАВ КВ СКОБКА
       102:   ЗАПЯТАЯ
       103:   ТОЧКА С ЗАПЯТОЙ
       104:    ТОЧКА
       105:   ТОЧКА С ЗАПЯТОЙ
       106:   ДВОЕТОЧИЕ
       107:   ПРИСВАИВАНИЯ
       108:    BEGIN
       109:    BEGIN
       110:    BEGIN
       111:    BEGIN
       112:    BEGIN
       113:    BEGIN
       114:    BEGIN
       115:    BEGIN
       116:    BEGIN
       117:    BEGIN
       118:    BEGIN
       119:    BEGIN
       120:    END
       121:    END
       122:    END
       123:    END
       124:    END
       125:    END
       126:    END
       127:    END
       128:    UNTIL
       129:    UNTIL
       130:    OF
       131:    DO
       132:    THEN
       133:    THEN
       134:    THEN
       135:   PROGRAM
       136:   PROGRAM
